ID,DESCRICAO,PRECOVENDA,CODBARRAS
105,CHAVE DE IGNICAO CG 125 TITAN ES/KS/KSE/CA 02-03 V,"25,00",NULL
106,CHAVE DE IGNICAO CG 125 TITAN ES/KS/CARGO 00-01,"30,00",NULL
107,CHAVE DE IGNICAO CG 125 FAN 05/08 CARGO 02/04,"28,00",NULL
108,CHAVE DE IGNICAO BIZ 98-04,"40,00",NULL
109,CHAVE DE IGNICAO  TITAN 2002-2003 / FAN 125 ATE 20,"28,00",NULL
110,CHAVE DE IGNICAO  TITAN 125 KS/ES/CARGO SCI,"55,00",7908193643086
111,CHAVE DE IGNICAO  YBR 125 FACTOR/XTZ 125 09,"68,00",NULL
112,CHAVE DE IGNICAO  CG 125 CARGO 95-99,"28,00",NULL
113,CHAVE DE IGNICAO CAO BIZ 125 - MAGNETRON,"65,00",NULL
114,INTERRUPTOR DE PARTIDA CG 125 TITAN ES 00 - 03,"45,00",7898905501172
115,CHAVE INTERRUPTOR  PARTIDA CONDOR CG 150 FAN,"65,00",7898508616754
116,CHAVE DE LUZ COMPATIVEL P/NXR 150 BROS 09/MIX,"48,00",NULL
117,CHAVE LUZ COMPATIVEL P/CG150 TITAN 04/08 KS,"58,00",NULL
118,CHAVE DE IGNICAO TRAVAS CG 125 02-03 5 PCS,"95,00",NULL
119,CHAVE LUZ GRAPEX TITAN KS 00/04,"45,00",NULL
120,CHAVE LUZ COMPATIVELP/ NXR150 BROS 2009 ESD,"35,00",NULL
121,CHAVE DE PARTIDA COMPATIVEL C/ NXR125/150 ES 06/08,"30,00",NULL
122,CHAVE LUZ COMPATIVEL P/CG125 FAN 05-08 - MAGNETRON,"65,00",NULL
123,CHAVE LUZ COMPATIVEL 125 YBR 00-08 FACTOR,"90,00",7898508611711
124,CABO DE BATERIA NEGATIVO CG 150 ATE 2005,"10,00",NULL
125,CABO DE BATERIA POSITIVO BROS 125/150 ATE 2005,"8,00",NULL
126,INTERRUPTOR PARTIDA AUDAX,"35,00",NULL
127,CABO DE BATERIA POSITIVO CG 150 06-08,"9,00",NULL
128,LAMPADA  2 POLOS LEDS RETANULAR SUBSTITUI LAMPADA,"30,00",NULL
129,DISCO DE EMBREAGEM YBR/XTZ125,"25,00",NULL
130,,"25,00",NULL
131,BUZINA 12V-LINHA 125/150CC - RIFFEL,"35,00",7899128832340
132,CONJ INTERRUPTOR/ SINALIZADORA DE LUZ CG 150 TITA,"42,00",NULL
133,BUZINA POP 100,"17,00",NULL
134,INTERRUPTOR DE FREIO DIANT COMPATIVELP/ CG125ES 00,"8,00",NULL
135,INTERRUPTOR FREIO TRAS. COMPATIVEL P/ CG150,"8,00",NULL
136,LAMPADA 2 POLOS LED OVAL SUSBTISTUI LAMPADA TRASEI,"25,00",NULL
137,CONJ INTERRUPTOR SINALIZADOR DE LUZ MOTO HOND CG 1,"55,00",NULL
